admin2_name,RP_2,RP_5,RP_10,RP_25,RP_50,RP_100,RP_250,RP_500,RP_1000,AED
Bagerhat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chuadanga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jessore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhenaidah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khulna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kushtia,0.0,16639.66411473255,31265.478969859858,46830.851497446034,61683.30920861851,73007.72491693987,82425.56923032038,93475.52152707678,104756.05207182544,10912.867585219368
Magura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meherpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.9053835249547,0.6669053835249547
Narail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bogra,0.0,5837.351350840545,73631.8084163758,98253.10733138435,116401.31322464158,127491.2029910231,161277.2440940691,182322.78150988993,199634.5856419714,17273.102824502155
Joypurhat,0.0,0.0,0.0,0.0,0.0,0.0,1165.4633896381913,1325.663054002156,1325.663054002156,8.638842720559234
Naogaon,0.0,0.0,0.0,0.0,477.93384114435975,477.93384114435975,152390.38750120532,160106.90487261073,174926.7903894173,1119.0401653737908
Natore,0.0,374.5566133999829,1745.2518965665442,2112.580982024545,2112.580982024545,2112.580982024545,41900.91235444182,44254.75583255794,52193.55804360595,705.6239002048584
Nawabganj,0.0,2256.434976626297,3155.4771621108234,5309.852866178576,6226.816384568473,10542.1351167584,16465.674746781624,26259.030940200504,36080.42458656825,1363.6476904965343
Pabna,0.0,17135.693550349242,32774.8508672922,56573.19242085174,75357.22131212475,86961.83151616761,103829.10546729472,115350.82178319385,125457.34529154163,12115.789645764418
Rajshahi,0.0,38122.92993256922,53114.123042470535,63982.97135569491,72912.69106344989,82774.44519152465,115167.7642015813,124899.7861126422,132781.31335995896,18624.567360564506
Sirajganj,0.0,21912.29537069962,38114.27288474991,51611.82871174429,70722.10754055988,92872.05954027912,122420.96476503425,135887.14176095216,150786.56379536842,13513.766963676086
Dinajpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gaibandha,0.0,13743.375912445208,51742.89393259849,74365.08734570177,90093.33918995167,106436.02779236373,132386.9669103074,165339.0521961305,209806.3499059473,14833.827453239071
Kurigram,0.0,36998.37459152273,73983.5043731292,116806.4250686262,160862.84215254063,217299.2527508524,291601.3099102532,355216.1383484107,406384.4645402856,27143.75370979997
Lalmonirhat,0.0,0.0,1612.3495767735621,2049.812893014235,3453.409245812704,4249.981648710828,9370.430461924761,10064.929983302143,10129.322940980794,422.53637955657206
Nilphamari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panchagarh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangpur,0.0,0.0,0.0,0.0,89.86470707287162,89.86470707287162,112.73751490758065,112.73751490758065,112.73751490758065,3.4851038165392136
Thakurgaon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Habiganj,0.0,0.0,0.0,0.0,31.96390775860921,43972.13381098392,49292.415723293765,69637.3646428842,77465.76315110133,854.2707715950562
Maulvibazar,0.0,0.0,0.0,0.0,0.0,37160.62688619737,115877.60608158907,226603.22290237068,230073.3473075739,1518.3964863006452
Sunamganj,0.0,0.0,3321.3310589861353,97143.24013566767,119473.3431933254,264013.5263877496,538736.0904117356,629192.0700012081,705479.9697055022,13366.273310424187
Sylhet,0.0,0.0,0.0,0.0,16308.686840137869,36300.37231654649,237611.11384630087,258548.7716521087,269540.9849609801,2426.2604436186234
Mymensingh,0.0,0.0,0.0,0.0,0.0,0.0,51517.92756536086,55962.36950527433,66931.60510933929,384.9280543813314
Netrakona,0.0,0.0,0.0,32935.871986637445,33129.06700610638,44899.92892571219,79725.24681092899,86227.21722559577,305001.18113849504,3225.37211167815
Sherpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamalpur,0.0,13911.808709268626,25189.84914689372,74815.78174940174,117472.13802416949,163515.64932741964,226839.69571647584,275667.35098194116,319638.09951458976,14056.908764621128
