admin2_name,RP_2,RP_5,RP_10,RP_25,RP_50,RP_100,RP_250,RP_500,RP_1000,AED
Dhaka,0.0,2237.0750909157123,3956.9582610227135,257263.84444757598,306622.30487598083,657144.1430071878,690351.7499560982,824766.8257600159,940044.7435887269,29188.5375447131
Faridpur,0.0,33149.90650872566,45888.35183965745,49520.11011773912,57034.19828610297,65747.71628447877,85778.71160505709,106789.1153251921,131798.45629985863,15686.273552357761
Gazipur,0.0,0.0,0.0,60077.998757590096,68495.2436999253,172630.94264665272,183329.15865053787,217502.96327843977,236542.20246848415,6904.199014396152
Gopalganj,0.0,0.0,0.0,1346.2124043641834,3896.2751688555113,12060.888696907423,17532.557445725375,24260.220422849423,30853.022203206587,401.8865793525587
Kishoreganj,0.0,5512.230127595514,23475.523949633327,68013.20796604076,90891.27295277941,119718.67562643651,154909.5086946424,170250.0417685977,205393.9985256622,10351.071071285447
Madaripur,0.0,34993.36569817008,40784.667541192684,62292.05537620194,85932.09812174938,106113.34222094477,149473.36128568256,182621.19610128645,210968.64204634848,17522.701972837447
Manikganj,0.0,15290.63828712345,22839.006358472678,25418.52630497943,29354.01002082829,31277.847372934295,35586.965822132035,39279.60975402281,53922.74496278811,7533.457847376406
Munshiganj,0.0,25740.559470416214,61896.74077179261,71531.68016906778,90668.32350238359,93014.73430347194,98412.40427334394,105674.32972817463,134752.79659889804,17682.31806425623
Satkhira,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bagerhat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chuadanga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jessore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhenaidah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khulna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kushtia,0.0,26540.82102199151,48316.01660926495,74268.0260508793,99001.58324713387,116645.55858857493,135698.32872767717,149686.68999229828,159969.0264314115,17259.109879515116
Magura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
