admin1_name,RP_2,RP_5,RP_10,RP_25,RP_50,RP_100,RP_250,RP_500,RP_1000,AED
BGD.1_1,0.0,0.0,0.0,52538.930687618726,68574.82425135463,69352.92054014032,102655.16871311305,110119.33656362227,116997.63556528006,4914.439901478221
BGD.2_1,0.0,388408.0475145778,663176.347588662,848829.6620128264,967257.4188023816,1231736.0624269363,1503269.792687054,2152411.0426236745,2354634.423518248,222287.47542212566
BGD.3_1,0.0,126818.29790085235,171379.57879330145,270280.952000729,340086.7955278495,424784.6379347843,1266229.4767563138,1411169.0345659354,1997381.2511695283,74247.07505676127
BGD.4_1,0.0,16639.66411473255,31265.478969859858,46830.851497446034,61683.30920861851,73007.72491693987,82425.56923032038,93475.52152707678,104756.05207182544,10912.867585219368
BGD.8_1,0.0,13911.808709268626,25189.84914689372,107009.48793918145,149859.03923341833,207697.82706767964,357291.69462561194,416727.3806907479,689567.0168182398,17608.0737861577
BGD.5_1,0.0,85639.26179448495,207087.47593085407,283238.0857694597,349605.2164500951,408626.74128050526,720072.2729000848,795861.6422460866,878889.0453951466,65595.3965460554
BGD.6_1,0.0,50741.750503967894,122504.59443927568,188311.98908035606,249467.21472762123,324533.86361606646,430132.07691647165,528098.6645883303,623943.696541969,41566.64137203299
BGD.7_1,0.0,0.0,3321.3310589861353,97032.32910477312,135703.0829103273,381310.07165009924,943985.0512351854,1185232.1852808758,1284701.4753198877,18171.69469561946
