admin1_name,RP_2,RP_5,RP_10,RP_25,RP_50,RP_100,RP_250,RP_500,RP_1000,AED
BGD.1_1,0.0,0.0,51525.5579377341,68216.49166246482,137873.46486401345,146529.5018030131,160630.51696516908,168996.05930879625,180631.0763521436,13265.125038412814
BGD.2_1,0.0,704830.7708257308,1026739.8689559159,1601012.9735356984,1805669.558211691,2603448.615570601,3070694.6734682666,3353806.1918463744,3819618.7932926686,392638.547192964
BGD.3_1,0.0,197676.90257446968,324054.7226396561,1113688.8235987963,1346196.2731476314,2170913.0352009293,2471149.130808504,2843260.676613835,3283952.0107436893,183976.53142497872
BGD.4_1,0.0,26540.82102199151,48316.01660926495,74268.0260508793,99001.58324713387,116645.55858857493,135698.32872767717,149686.68999229828,160759.08375862887,17259.899936842332
BGD.8_1,0.0,23123.66950306384,81751.28855659494,200143.00381265918,327398.36294840166,648136.8643857521,831366.7637131267,993298.2596223177,1093840.7087308273,40240.82309443216
BGD.5_1,0.0,212228.92373843133,317706.32159310766,472729.5608323198,793057.3996979798,1016646.2964329305,1245053.6430389762,1370143.095661353,1531357.0886879445,128405.0681507453
BGD.6_1,0.0,123565.34526318849,200067.96414490172,329162.67081014824,432517.4266673907,558231.0534957753,737529.5642223796,881121.932459212,1030897.1629330295,77862.29065258034
BGD.7_1,0.0,3321.3310589861353,120133.94161922825,384569.9605730403,1125692.0410494818,1248591.1760493212,1615502.9354186915,1731447.629417153,2003629.3736165606,74988.74775225014
