admin2_name,RP_2,RP_5,RP_10,RP_25,RP_50,RP_100,RP_250,RP_500,RP_1000,AED
Kishoreganj,0.0,0.0,7857.316749884989,29983.16160306233,66306.52990393643,76012.52066441979,111811.75789972451,125737.97070979107,149194.8129825754,4919.231729834974
Madaripur,0.0,22922.32792422527,39043.302274894195,59557.635894482,69000.15358493381,91432.32808340776,124875.88648527201,154459.84122002881,179265.7877829515,14153.116616810605
Manikganj,0.0,14067.599785844379,20529.551209282356,24223.04174184818,27892.840423731697,29992.766734744568,31809.66758490607,36172.66274213414,41368.51419894968,6934.133733615961
Munshiganj,0.0,21231.783003073015,29154.176571178883,69266.71302820188,71587.32712906833,72572.67687495355,95185.49260922827,98350.45088153292,106737.92812497717,12774.096890516425
Satkhira,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bagerhat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chuadanga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jessore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhenaidah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khulna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kushtia,0.0,23361.268272786692,42567.20267318608,66695.72835010667,87813.5912596525,102222.16171642108,122413.24823034121,135934.62673359617,147224.28866835363,15284.043033294383
Magura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meherpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1456.9627107422693,1.4569627107422694
Narail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bogra,0.0,51046.43462846968,90789.50700764591,116851.33158357453,159238.83434465798,193419.34635907467,228384.4328852831,262504.14115022845,282243.9231879479,30802.05097731495
Joypurhat,0.0,0.0,0.0,0.0,0.0,1165.4633896381913,1325.663054002156,1644.6941749412008,2410.787777478591,22.65746223975153
Naogaon,0.0,0.0,0.0,377.46426862861347,477.93384114435975,152367.15916847414,168308.01255844824,230487.0674046764,242761.06356232392,2925.2960878582435
Natore,0.0,590.512942694327,2304.713895626509,3182.2198549713066,3304.662701459455,43154.412530714224,51139.47074089786,64310.26170606285,68606.7388223109,1375.2852968347281
Nawabganj,0.0,3276.736801540268,4164.958270061914,7687.929720515918,10023.553563713922,15117.600305575605,24832.626364566895,109368.45056000272,123662.9379367944,2172.7377949799843
Pabna,0.0,26603.89554474274,47146.739056146245,84690.76262891105,103721.82386851426,123004.12014421287,148468.23447056286,165841.13993672296,178289.84640217238,17831.406262689896
Rajshahi,0.0,60987.02802067056,77277.21165164026,93867.39822493002,106768.49960640528,130324.29896895573,159295.28355989608,175854.91174602773,189726.83526725354,28297.053473111893
Sirajganj,0.0,31256.360251586306,50650.051511552796,73153.24408593246,95935.16471728325,123066.12491947421,164759.42612362216,187380.30738645245,218121.03124402792,18643.69085896167
Dinajpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gaibandha,0.0,43055.24885944391,64466.103373698774,95602.13714031682,127434.03891522184,150821.41827180993,188847.09307975226,235702.75911541705,291042.9586422398,24456.47740508595
Kurigram,0.0,56599.02468712443,98339.17238429673,161821.8698385809,221985.15189460205,299004.21617243695,410369.8010317519,485043.9694093744,559882.5395078972,38227.79185146786
Lalmonirhat,0.0,208.75322397509143,1667.013476769444,2049.812893014235,4249.981648710828,5418.141311824041,11115.398403003534,12294.782051453129,14486.729737590169,513.1634417374997
Nilphamari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panchagarh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangpur,0.0,0.0,0.0,89.86470707287162,89.86470707287162,112.73751490758065,112.73751490758065,112.73751490758065,112.73751490758065,7.308420177801169
Thakurgaon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Habiganj,0.0,0.0,0.0,0.0,43270.865661908545,47763.07055942003,67619.9013147377,81840.42784144882,102831.19709997387,1880.0396768741937
Maulvibazar,0.0,0.0,0.0,0.0,37562.66583257198,115877.60608158907,229281.36511789297,234260.2731132603,289594.92740800435,3585.2703115734275
Sunamganj,0.0,0.0,4340.143355620657,114737.06177551667,263980.0216570143,543674.0610416359,677076.6400757878,785454.8542667106,880339.6361613658,20899.393755137316
Sylhet,0.0,0.0,0.0,16331.938385038184,36466.61506142716,239141.63045327205,262499.4173521487,280367.2753391928,340056.93264723785,5724.81529389701
Mymensingh,0.0,0.0,0.0,0.0,0.0,52572.851329728524,63187.154611482634,77720.9813311015,90587.30920015032,1024.5064036055692
Netrakona,0.0,0.0,0.0,33129.06700610638,44935.901455341605,79302.9473580535,297741.86881576997,322809.3172943841,369273.5160505226,5222.769808833993
Sherpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamalpur,0.0,21269.38649169817,41884.382889868764,104592.24001283682,153968.07829119993,233793.7805330184,315666.5847658244,392838.80934715614,446281.38664315495,20537.92990339493
