admin1_name,RP_2,RP_5,RP_10,RP_25,RP_50,RP_100,RP_250,RP_500,RP_1000,AED
BGD.1_1,0.0,0.0,0.0,67044.3361535032,68743.37147553825,100490.96543156457,144199.99355852226,154611.7410398074,168832.86959606208,6116.406855876305
BGD.2_1,0.0,540897.5528189585,835145.1773796732,1169256.903057879,1556382.873715122,1844730.4875622722,2702302.496392094,2890020.6393556623,3211164.6587902214,307839.6826970693
BGD.3_1,0.0,151953.68626187864,233623.7189512046,391737.3520001318,488747.52172864374,1308619.9713636467,1994436.8902830046,2404364.8360999757,2604819.0066583697,107675.04961570114
BGD.4_1,0.0,23361.268272786692,42567.20267318608,66695.72835010667,87813.5912596525,102222.16171642108,122413.24823034121,135934.62673359617,148014.34599557097,15284.8330906216
BGD.8_1,0.0,21269.38649169817,41222.13555340834,136979.14122208548,197754.7651098598,364446.9403024176,674160.2757976641,790933.7755772254,903772.4834744255,26637.102345604795
BGD.5_1,0.0,177059.64187804627,277547.1203904226,385204.9024690449,487670.6185189981,789878.8759403934,954773.4999115552,1206097.2137307976,1314595.4259040614,103772.92149620908
BGD.6_1,0.0,96564.35308220066,159562.95300777836,254531.44401122868,347207.64996414527,449458.9872445648,604720.95698798,727738.3734992968,861111.5965825634,61624.63872092875
BGD.7_1,0.0,0.0,4340.143355620657,130958.08912966031,381143.5804615439,948924.1933081832,1238618.734055294,1384064.240755342,1614507.9155062516,32121.562776299303
