admin1_name,RP_2,RP_5,RP_10,RP_25,RP_50,RP_100,RP_250,RP_500,RP_1000,AED
BGD.1_1,103076.47708271272,231506.1635685942,389798.1951308753,870854.7511036302,1433289.6160137623,1969823.9682022855,2620884.770453312,3038491.2287217407,3437726.2687950623,240015.76062265784
BGD.2_1,18858.65257742744,85159.80844982123,286937.065370618,574621.0572065655,871452.5080036008,1230287.3405111672,1778447.316138238,2170712.4319390333,2610481.203154885,121937.45570077198
BGD.3_1,75566.7975929823,154298.8250627919,254712.30318252766,392920.56425649114,811277.1404885466,1127386.9955057686,1610728.1141069077,2499259.49968922,3268512.5231941035,152040.57344139073
BGD.4_1,284042.23727095383,874226.095486324,1078316.8868639765,1437926.4950639342,1678637.6624441696,1893072.892014265,2203991.7465135097,2419305.3264185656,2589064.0324173276,550962.2100620313
BGD.8_1,0.0,0.0,0.0,0.0,0.0,569.7278626784848,4468.318786123402,19221.350800328604,53809.75988065918,115.82301525259484
BGD.5_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGD.6_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BGD.7_1,0.0,0.0,0.0,66.30365765129565,175.9792693360023,305.71521716438167,41534.04247709305,82578.92961837578,163630.92776062913,504.1538407701686
